CustomerID,Card Member,Age,Annual Income,Spending Score (1-100)
113,1,65.0,63.0,52.0
114,0,19.0,63.0,54.0
115,0,38.0,64.0,42.0
116,1,19.0,64.0,46.0
117,0,18.0,65.0,48.0
118,0,19.0,65.0,50.0
119,0,63.0,65.0,43.0
120,0,49.0,65.0,59.0
121,0,51.0,67.0,43.0
122,0,50.0,67.0,57.0
123,1,27.0,67.0,56.0
124,0,38.0,67.0,40.0
125,0,40.0,69.0,58.0
126,1,39.0,69.0,91.0
127,0,23.0,70.0,29.0
128,0,31.0,70.0,77.0
129,1,43.0,71.0,35.0
130,1,40.0,71.0,95.0
131,1,59.0,71.0,11.0
132,1,38.0,71.0,75.0
133,1,47.0,71.0,9.0
134,1,39.0,71.0,75.0
135,0,25.0,72.0,34.0
136,0,31.0,72.0,71.0
137,1,20.0,73.0,5.0
138,0,29.0,73.0,88.0
139,0,44.0,73.0,7.0
140,1,32.0,73.0,73.0
141,1,19.0,74.0,10.0
142,0,35.0,74.0,72.0
143,0,57.0,75.0,5.0
144,1,32.0,75.0,93.0
145,0,28.0,76.0,40.0
146,0,32.0,76.0,87.0
147,1,25.0,77.0,12.0
148,1,28.0,77.0,97.0
149,1,48.0,77.0,36.0
150,0,32.0,77.0,74.0
151,0,34.0,78.0,22.0
152,1,34.0,78.0,90.0
153,1,43.0,78.0,17.0
154,1,39.0,78.0,88.0
155,0,44.0,78.0,20.0
156,0,38.0,78.0,76.0
157,0,47.0,78.0,16.0
158,0,27.0,78.0,89.0
159,1,37.0,78.0,1.0
160,0,30.0,78.0,78.0
161,1,34.0,78.0,1.0
162,0,30.0,78.0,73.0
163,0,56.0,79.0,35.0
164,0,29.0,79.0,83.0
165,1,19.0,81.0,5.0
166,0,31.0,81.0,93.0
167,1,50.0,85.0,26.0
168,0,36.0,85.0,75.0
169,1,42.0,86.0,20.0
170,0,33.0,86.0,95.0
171,0,36.0,87.0,27.0
172,1,32.0,87.0,63.0
173,1,40.0,87.0,13.0
174,1,28.0,87.0,75.0
175,1,36.0,87.0,10.0
176,1,36.0,87.0,92.0
178,0,52.0,88.0,13.0
179,0,30.0,88.0,86.0
180,1,58.0,88.0,15.0
181,1,27.0,88.0,69.0
182,1,59.0,93.0,14.0
183,1,35.0,93.0,90.0
184,0,37.0,97.0,32.0
185,0,32.0,97.0,86.0
186,1,46.0,98.0,15.0
187,0,29.0,98.0,88.0
188,0,41.0,99.0,39.0
189,1,30.0,99.0,97.0
190,0,54.0,101.0,24.0
191,1,28.0,101.0,68.0
192,0,41.0,103.0,17.0
193,0,36.0,103.0,85.0
194,0,34.0,103.0,23.0
195,0,32.0,103.0,69.0
196,1,33.0,113.0,8.0
197,0,38.0,113.0,91.0
198,0,47.0,120.0,16.0
199,0,35.0,120.0,79.0
200,0,45.0,126.0,28.0
201,1,32.0,126.0,74.0
202,1,32.0,137.0,18.0
203,1,30.0,137.0,83.0
